character	crops
の	56530
に	54779
し	48724
て	42490
と	38059
り	35006
は	34062
を	33954
か	32102
な	30568
る	29221
も	27289
た	23348
い	22653
く	20791
ら	19608
き	18093
れ	17786
へ	17682
候	16468
ま	15963
つ	14767
す	14618
さ	14538
う	14487
あ	13906
ふ	13682
ん	13531
一	12993
御	12670
け	12344
や	12301
こ	12155
よ	12092
ひ	11602
事	11295
之	10748
人	10645
お	10563
が	10352
せ	8962
日	8560
そ	8005
シ	7779
ば	7658
ハ	7512
め	7437
ゝ	7390
上	7330
大	7192
三	6887
十	6869
ニ	6682
申	6632
此	6502
み	6329
イ	6129
其	6042
ち	5916
所	5796
出	5724
ア	5495
中	5331
わ	5172
五	5067
二	5044
々	5036
也	4956
可	4951
ど	4870
入	4780
リ	4772
下	4732
見	4706
者	4690
有	4671
又	4621
ツ	4543
云	4502
時	4470
だ	4452
ン	4432
ノ	4414
ね	4390
子	4354
ろ	4340
ほ	4330
被	4303
で	4270
月	4262
ヲ	4196
カ	4159
ト	4134
物	4106
水	4064
年	4057
ぬ	4025
八	3974
ず	3932
べ	3904
む	3884
四	3884
〱	3753
百	3677
国	3617
六	3606
ゆ	3560
是	3531
方	3491
ル	3426
じ	3423
不	3384
七	3379
心	3346
間	3307
村	3296
前	3260
右	3222
今	3203
テ	3177
山	3172
小	3167
ヤ	3156
給	3155
以	3115
内	3087
家	3030
行	3016
何	3007
地	2938
ナ	2934
同	2897
様	2890
相	2885
ウ	2831
高	2755
来	2734
タ	2724
後	2710
合	2700
石	2643
付	2608
レ	2578
如	2571
九	2564
言	2564
分	2506
手	2495
ラ	2467
・	2454
仕	2425
ざ	2414
門	2395
女	2390
び	2357
奉	2322
無	2321
キ	2297
升	2290
殿	2266
等	2260
成	2228
、	2201
コ	2196
為	2189
田	2189
▲	2188
づ	2176
道	2176
屋	2172
拾	2161
本	2155
ケ	2147
川	2138
取	2128
立	2117
身	2102
ミ	2087
世	2087
ク	2082
長	2080
通	2075
斗	2053
由	2049
目	2018
ご	2016
思	2007
衛	2004
左	1986
マ	1981
天	1968
名	1958
参	1924
文	1867
置	1866
共	1863
町	1854
度	1841
書	1837
聞	1809
神	1771
げ	1770
外	1766
チ	1757
ぶ	1750
ヽ	1746
ネ	1743
代	1728
居	1728
ヨ	1727
え	1700
仰	1697
次	1688
儀	1684
千	1677
郎	1676
弐	1664
モ	1661
ぞ	1655
馬	1641
座	1637
知	1637
用	1634
木	1604
生	1604
先	1587
金	1587
東	1582
「	1555
。	1552
少	1539
夜	1537
風	1534
口	1525
然	1521
ム	1511
松	1508
ぎ	1486
而	1475
夷	1465
我	1462
戸	1459
明	1457
得	1451
気	1441
法	1440
夫	1396
野	1389
白	1385
朝	1381
ぐ	1372
西	1361
廿	1359
於	1345
江	1344
ぼ	1327
着	1326
○	1323
流	1320
及	1318
願	1312
壱	1309
主	1306
故	1302
守	1267
兵	1266
土	1266
彼	1262
海	1257
正	1253
多	1251
存	1245
自	1244
セ	1239
程	1236
酒	1236
平	1235
フ	1232
切	1221
色	1213
ゑ	1210
ヘ	1198
吉	1195
当	1192
令	1191
能	1186
引	1179
元	1171
近	1167
義	1166
定	1150
米	1150
侍	1143
第	1142
諸	1136
至	1135
太	1134
処	1127
サ	1124
ヱ	1115
難	1111
状	1108
ス	1100
持	1100
進	1097
島	1094
数	1094
帰	1092
ゞ	1081
頭	1078
作	1070
別	1066
花	1064
ゐ	1056
蝦	1051
ユ	1050
船	1049
両	1046
原	1037
重	1037
春	1032
治	1031
実	1027
去	1023
渡	1023
部	1009
南	1007
恐	1005
北	996
和	984
寺	980
河	980
依	976
意	957
州	956
遣	952
藤	951
敷	948
里	944
男	932
万	931
親	927
食	926
古	923
在	921
ロ	920
納	915
火	912
公	902
津	901
理	901
私	895
条	892
若	890
向	879
足	867
新	863
院	863
郡	849
了	847
常	847
葉	841
死	837
鳥	837
越	836
京	834
節	822
宮	818
細	817
打	816
久	813
面	810
予	801
将	798
草	794
都	790
使	786
辺	783
橋	781
領	781
仍	774
師	766
安	762
早	758
直	757
味	755
返	754
赤	749
落	747
番	743
請	735
路	734
ぢ	733
加	733
武	732
過	724
弁	722
或	720
記	719
雨	719
語	717
信	715
ホ	712
歟	712
𛂞	709
種	708
根	706
臣	705
乗	702
伊	702
防	702
件	701
失	700
段	700
形	699
字	693
忠	693
汁	692
宿	691
蔵	690
沙	684
勢	682
光	679
半	679
召	678
ワ	676
住	675
浸	674
勝	673
衆	667
謹	667
バ	666
皆	660
命	659
役	658
湯	657
他	655
紙	654
遠	654
違	653
ー	652
城	645
破	643
丁	633
玉	633
魚	633
猶	631
利	630
類	630
但	629
永	629
卿	626
害	625
煮	625
銀	625
ぜ	623
王	623
房	622
初	617
悪	616
衣	616
歌	615
旨	607
寄	606
覚	605
清	602
具	600
佐	598
豆	598
退	597
尺	596
蚕	595
極	594
老	594
致	594
差	592
茶	590
非	590
粉	585
従	584
哉	583
経	583
各	581
嶋	579
伝	578
助	578
尋	577
承	576
終	572
余	570
未	566
羽	560
只	555
迄	555
比	553
連	552
例	548
