item	title	gugyeol	evidence
11-0003060000400-21	삼국유사 권4~5	음독	또한 묵서된 음독 구결(音讀口訣)과 한글 현토(懸吐)가 있어 구결 연구에도 귀중한 자료라는 점 등 우리나라 고대 언어 연구에도 많은 참고가 된다.
12-0004190000300-21	삼국유사 권4~5	unspecified	이 책에는 조선초 판본(板本) 중 유일하게 권4의 이혜동진(二惠同塵)·자장정률(慈藏定律)·원효불기(元曉不羈)·의상전교(義湘傳敎) 등의 편에 구결(口訣)로 현토(懸吐)가 되어 있으며, 권제5의 제27-30장이 있는 것은 범어사본이 유일하다.
12-0004190000400-11	삼국유사 권3~5	unspecified	특히 정덕본 중에서는 유일하게 구결로 현토되어 있어서독해에 도움을 준다.
12-0007580000200-22	남명천화상송증도가(2012)	unspecified	이 판본은 본문에 구결토(口訣吐)가 묵서되어 있으며, 광곽 중 판면의 세로 높이가 서로 다른 부분도 있고, 각 장의 글자를 보면 크기, 굵기, 길이 등에 차이가 있다.
12-0007660000200-38	묘법연화경 권4~7(2010)	unspecified	본문에는 구결이 있고 권말에는 안평대군의 수서발문(手書跋文)과 양윤손의 발문이 있는데 특히 안평대군의 발문은 간행경위와 그의 서체를 볼 수 있는 중요한 자료이다.
12-0008750000400-24	상교정본자비도량참법 권6	음독	그러나 뒷표지에 소장 정보가 화압(花押) 형태로 표시되어 있으며, 본문 가운데는 음독구결도 묵서되어 있다.
12-0008750000500-22	상교정본자비도량참법 권4∼7	음독	그러나 전반적으로 인출·보존 상태가 비교적 양호하며 작은 글자로 음독구결도 묵서(墨書)되어 있다.
12-0013060000000-37	묘법연화경	unspecified	이어 송(宋)의 급남(及南) 화상(和尙)이 쓴 묘법연화경 요해서(妙法蓮華經要解書)가 나오며 본문(本文)에는 묵서(墨書)로 쓴 구결(口訣)과 두주(頭註)가 있다.
12-0013060000100-37	묘법연화경(2001)	unspecified	이어 송(宋)의 급남(及南) 화상(和尙)이 쓴 묘법연화경 요해서(妙法蓮華經要解書)가 나오며 본문(本文)에는 묵서(墨書)로 쓴 구결(口訣)과 두주(頭註)가 있다.
12-0013060000200-11	묘법연화경(2019)	unspecified	전체에 걸쳐 구결(口訣)이 표기되어 있으며, 두주(頭註) 형태와 한글 현토(懸吐) 등 조선 초기 국어 사용의 현황을 보여주는 자료가 수록되어 있어 향후 심도있는 연구에도 도움이 된다.
12-0015430000200-31	상교정본자비도량참법 권5	unspecified	다만 만불선원 소장본은 종이 재질과 인출(印出) 상태, 본문에 표기된 구결(口訣, 한문을 읽을 때 내용을 이해하기 위해 구절마다
12-0015430000300-11	상교정본자비도량참법 권4∼6	음독	표지는 직물이고, 장정 형태가 포배장·선장으로 원형을 유지하고 있으며, 본문 가운데 음독구결도 묵서되어 있다.
12-0015720000000-34	서산 문수사 금동여래좌상 복장유물	석독	전적류 복장유물에서 인쇄자료 중 ‘묘법연화경’과 ‘인왕호국반야바라밀경(仁王護國般若波羅蜜經)’은 각각 각필과 석독구결(釋讀口訣)이 있어 국어사 연구에 귀중한 자료로 평가되며 필사자료 중 ‘至正六年(1346)’의 연기(年記)를 지닌 발원문과 복장물목은 불상의 조성연대와 복장시기 및 복장된 품목을 확인할 수 있는 중요한 자료이다.
12-0016030000000-11	대불정여래밀인수증요의제보살만행수능엄경(2009)	unspecified	권두에는 “대불정수능엄경변상(大佛頂首楞嚴經變相)”이란 제목 하에 2장의 변상도가 있고 이어 권1∼10의 말미에 이르기까지 세필의 구결(口訣)이 있으며, 판각이 정교하여 인쇄도 깨끗하다.
12-0016620000000-11	대혜보각선사서(2010)	unspecified	책머리에는 ‘대혜보각선사서’ 권수제가 있고 다음 행에‘참학혜연록’ ‘정지거사황문창중편’ 편찬자가 기록되어 있고 본문에는 구결이 있다.
12-0016630000000-11	대승기신론의기 권상, 하	unspecified	본문에는 구결이 있으며 상권의 표지는 훼손되었으나 후대에 보수하면서 표제는 묵서로 ‘기신론의기상(起信論義記上)’ 이라 써있다.
12-0017370000000-38	몽산화상육도보설	unspecified	본문에는 필사한 구결(口訣) 표시가 있고, 난외에도 주(註)가 기록되어 있다.
12-0018850000000-11	대불정여래밀인수증요의제보살만행수능엄경(2016)	순독	특히 조사본 ｢대불정여래밀인수증요의제보살만행수능엄경｣에는 처음부터 끝까지 순독구결(順讀口訣)의 토가 기입되어 있어서 그 특징을 잘 보여주고 있다.
12-0018860000000-11	재조본 유가사지론 권20	석독	조사본은 비록 권수(巻首)의 제1장이 결락되고 제2～3장이 훼손되어 있으나 13～14세기경에 인출해낸 고려 재조대장경의 판본으로서 중요하며, 특히 각장 각행의 좌우에 석독구결(釋讀口訣)이 필사되어 있어 국어사 연구에 매우 귀중한 자료로 판단된다.
12-0020560000000-31	대불정여래밀인수증요의제보살만행수능엄경 권1～2	석독	최초 판각된 이후 조금 늦게 인쇄된 것으로 보이나, 기 보물 지정된 동일 판본(보물 대불정여래밀인수증요의제보살만행수능엄경,1984년 지정)의 일부 결락된 장수(張數)를 보완해 주고 본문 좌측에 일(一), 이(二) 등 본문 해석을 돕기 위한 석독구결(釋讀口訣)의 사례 등이 확인되어 조선시대 구결 연구를 위한 중요한 자료로 평가할 수 있다.
12-0021990000000-11	초조본 유가사지론 권66	석독	그밖에 고려시대에 한문을 우리말로 번역해 읽을 수 있도록 치밀하게 토를 단 석독구결이 표시되어 있어 국어사 연구의 귀중한 자료가 된다는 점, 그리고 이 구결을 통해 고려시대 유식학에 대한 연구 수준을 엿볼 수도 있다는 점에서 불교철학 분야의 의의가 있다.
12-0022430000000-11	협주석가여래성도기	unspecified	이 자료는 1권 완질본으로 표지가 탈락되어 있으나 대체로 보존 상태가 양호하고, 본문에는 조선 초기의 구결과 함께 교정 또는 벽자(僻字)의 음을 표시한 묵서가 있다.
12-0022460000000-21	금강반야경소론찬요조현록(2024)	unspecified	두주(頭註)와 구결(口訣)이 묵서되어 있다.
