# CODH split by book, fixed by sha1(bid) order within each production type.
# 4 books in test and 2 in val; the rest train.
# source: data/sources/codh-books.tsv (production from the NIJL IIIF manifest)
bid	title	production	split
100241706	虚南留別志	printed	train
100249371	鼎左秘録	printed	train
100249376	御前菓子秘伝抄	printed	train
100249416	餅菓子即席／手製集	printed	train
100249476	飯百珍伝	printed	train
100249537	料理珍味集	printed	train
200003076	好色一代男	printed	train
200003803	源氏物語	printed	train
200003967	おらが春	printed	train
200004107	二人比丘尼	printed	train
200004148	椿説弓張月	printed	train
200005598	傾城買四十八手	printed	train
200005798	世間胸算用／大晦日ハ一日千金	printed	train
200006663	ぢぐち	printed	train
200006665	吉利支丹物語	printed	train
200008003	歌学提要	printed	train
200008316	武家義理物語	printed	train
200010454	源氏物語	handwritten	test
200014685	南総里見八犬伝	printed	train
200014740	雨月物語	printed	train
200015779	浮世風呂	printed	train
200015843	日本永代蔵	printed	train
200017458	曾我物語	printed	train
200018243	玉くしげ	printed	train
200019865	女郎花物語	printed	val
200020019	竹斎	printed	train
200021063	うすゆき物語	printed	test
200021071	伊曾保物語	printed	train
200021086	伊曾保物語	printed	train
200021637	当世料理	printed	train
200021644	菓子話船橋	printed	train
200021660	養蚕秘録	printed	train
200021712	万宝料理秘密箱	printed	train
200021763	膳部料理抄	handwritten	train
200021802	料理物語	printed	test
200021851	かてもの	printed	val
200021853	日用惣菜俎不時珍客即席庖丁	printed	train
200021869	料理方心得之事	handwritten	train
200021925	新編異国料理	printed	train
200022050	料理秘伝抄	printed	train
200025191	仁勢物語	printed	train
brsk00000	物類称呼	unknown	test
hnsd00000	比翼連理花迺志満台	unknown	train
umgy00000	春色梅児与美	unknown	train
