# 구결자 in the Hanyang private-use convention (한양 PUA), U+F67E to U+F77C.
#
# The code points are 한/글's: its word processor places 255 구결자 in the Private Use Area, and no
# Unicode or ISO/IEC 10646 block holds them. 하정수 (2019), 「국제 표준 문자 코드 登錄을 위한
# 구결자(口訣字) 기초(基礎) 자료(資料) 구축(構築) 현황(現況)」, 『구결연구』 43, 263–287
# (https://kiss.kstudy.com/Detail/Ar?key=3721308), states the count and the placement. The code
# points are a convention between a document and a font, not a character assignment.
#
# Every code point was checked against Haansoft Dotum 1.21 (HanYang I&C, 2004), the font the free
# 한컴오피스 뷰어 2024 installs (HOffice2024-Viewer.exe, SHA-256
# 067307327acde95b8e764b88d7cdb305f4354b2c78adbe9e79b59c2672cf96ea), which draws a
# 구결자 at each of the 255. The font is a visual reference only and is not redistributed.
#
# readings: the 음가, and jibo: the 모자 (source hanja), are filled only from an openly licensed or
# cited source, named in a comment beside the rows it fills; both are empty until then.
code_point	char	readings	jibo
U+F67E			
U+F67F			
U+F680			
U+F681			
U+F682			
U+F683			
U+F684			
U+F685			
U+F686			
U+F687			
U+F688			
U+F689			
U+F68A			
U+F68B			
U+F68C			
U+F68D			
U+F68E			
U+F68F			
U+F690			
U+F691			
U+F692			
U+F693			
U+F694			
U+F695			
U+F696			
U+F697			
U+F698			
U+F699			
U+F69A			
U+F69B			
U+F69C			
U+F69D			
U+F69E			
U+F69F			
U+F6A0			
U+F6A1			
U+F6A2			
U+F6A3			
U+F6A4			
U+F6A5			
U+F6A6			
U+F6A7			
U+F6A8			
U+F6A9			
U+F6AA			
U+F6AB			
U+F6AC			
U+F6AD			
U+F6AE			
U+F6AF			
U+F6B0			
U+F6B1			
U+F6B2			
U+F6B3			
U+F6B4			
U+F6B5			
U+F6B6			
U+F6B7			
U+F6B8			
U+F6B9			
U+F6BA			
U+F6BB			
U+F6BC			
U+F6BD			
U+F6BE			
U+F6BF			
U+F6C0			
U+F6C1			
U+F6C2			
U+F6C3			
U+F6C4			
U+F6C5			
U+F6C6			
U+F6C7			
U+F6C8			
U+F6C9			
U+F6CA			
U+F6CB			
U+F6CC			
U+F6CD			
U+F6CE			
U+F6CF			
U+F6D0			
U+F6D1			
U+F6D2			
U+F6D3			
U+F6D4			
U+F6D5			
U+F6D6			
U+F6D7			
U+F6D8			
U+F6D9			
U+F6DA			
U+F6DB			
U+F6DC			
U+F6DD			
U+F6DE			
U+F6DF			
U+F6E0			
U+F6E1			
U+F6E2			
U+F6E3			
U+F6E4			
U+F6E5			
U+F6E6			
U+F6E7			
U+F6E8			
U+F6E9			
U+F6EA			
U+F6EB			
U+F6EC			
U+F6ED			
U+F6EE			
U+F6EF			
U+F6F0			
U+F6F1			
U+F6F2			
U+F6F3			
U+F6F4			
U+F6F5			
U+F6F6			
U+F6F7			
U+F6F8			
U+F6F9			
U+F6FA			
U+F6FB			
U+F6FC			
U+F6FD			
U+F6FE			
U+F6FF			
U+F700			
U+F701			
U+F702			
U+F703			
U+F704			
U+F705			
U+F706			
U+F707			
U+F708			
U+F709			
U+F70A			
U+F70B			
U+F70C			
U+F70D			
U+F70E			
U+F70F			
U+F710			
U+F711			
U+F712			
U+F713			
U+F714			
U+F715			
U+F716			
U+F717			
U+F718			
U+F719			
U+F71A			
U+F71B			
U+F71C			
U+F71D			
U+F71E			
U+F71F			
U+F720			
U+F721			
U+F722			
U+F723			
U+F724			
U+F725			
U+F726			
U+F727			
U+F728			
U+F729			
U+F72A			
U+F72B			
U+F72C			
U+F72D			
U+F72E			
U+F72F			
U+F730			
U+F731			
U+F732			
U+F733			
U+F734			
U+F735			
U+F736			
U+F737			
U+F738			
U+F739			
U+F73A			
U+F73B			
U+F73C			
U+F73D			
U+F73E			
U+F73F			
U+F740			
U+F741			
U+F742			
U+F743			
U+F744			
U+F745			
U+F746			
U+F747			
U+F748			
U+F749			
U+F74A			
U+F74B			
U+F74C			
U+F74D			
U+F74E			
U+F74F			
U+F750			
U+F751			
U+F752			
U+F753			
U+F754			
U+F755			
U+F756			
U+F757			
U+F758			
U+F759			
U+F75A			
U+F75B			
U+F75C			
U+F75D			
U+F75E			
U+F75F			
U+F760			
U+F761			
U+F762			
U+F763			
U+F764			
U+F765			
U+F766			
U+F767			
U+F768			
U+F769			
U+F76A			
U+F76B			
U+F76C			
U+F76D			
U+F76E			
U+F76F			
U+F770			
U+F771			
U+F772			
U+F773			
U+F774			
U+F775			
U+F776			
U+F777			
U+F778			
U+F779			
U+F77A			
U+F77B			
U+F77C			
