code_point	char	name	readings	jibo	jibo_code_point
U+1B001	𛀁	HIRAGANA LETTER ARCHAIC YE	𛀁	江	U+6C5F
U+1B002	𛀂	HENTAIGANA LETTER A-1	あ	安	U+5B89
U+1B003	𛀃	HENTAIGANA LETTER A-2	あ	愛	U+611B
U+1B004	𛀄	HENTAIGANA LETTER A-3	あ	阿	U+963F
U+1B005	𛀅	HENTAIGANA LETTER A-WO	あ/を	惡	U+60E1
U+1B006	𛀆	HENTAIGANA LETTER I-1	い	以	U+4EE5
U+1B007	𛀇	HENTAIGANA LETTER I-2	い	伊	U+4F0A
U+1B008	𛀈	HENTAIGANA LETTER I-3	い	意	U+610F
U+1B009	𛀉	HENTAIGANA LETTER I-4	い	移	U+79FB
U+1B00A	𛀊	HENTAIGANA LETTER U-1	う	宇	U+5B87
U+1B00B	𛀋	HENTAIGANA LETTER U-2	う	宇	U+5B87
U+1B00C	𛀌	HENTAIGANA LETTER U-3	う	憂	U+6182
U+1B00D	𛀍	HENTAIGANA LETTER U-4	う	有	U+6709
U+1B00E	𛀎	HENTAIGANA LETTER U-5	う	雲	U+96F2
U+1B00F	𛀏	HENTAIGANA LETTER E-2	え	盈	U+76C8
U+1B010	𛀐	HENTAIGANA LETTER E-3	え	縁	U+7E01
U+1B011	𛀑	HENTAIGANA LETTER E-4	え	衣	U+8863
U+1B012	𛀒	HENTAIGANA LETTER E-5	え	衣	U+8863
U+1B013	𛀓	HENTAIGANA LETTER E-6	え	要	U+8981
U+1B014	𛀔	HENTAIGANA LETTER O-1	お	於	U+65BC
U+1B015	𛀕	HENTAIGANA LETTER O-2	お	於	U+65BC
U+1B016	𛀖	HENTAIGANA LETTER O-3	お	隱	U+96B1
U+1B017	𛀗	HENTAIGANA LETTER KA-1	か	佳	U+4F73
U+1B018	𛀘	HENTAIGANA LETTER KA-2	か	加	U+52A0
U+1B019	𛀙	HENTAIGANA LETTER KA-3	か	可	U+53EF
U+1B01A	𛀚	HENTAIGANA LETTER KA-4	か	可	U+53EF
U+1B01B	𛀛	HENTAIGANA LETTER KA-5	か	嘉	U+5609
U+1B01C	𛀜	HENTAIGANA LETTER KA-6	か	我	U+6211
U+1B01D	𛀝	HENTAIGANA LETTER KA-7	か	歟	U+6B5F
U+1B01E	𛀞	HENTAIGANA LETTER KA-8	か	賀	U+8CC0
U+1B01F	𛀟	HENTAIGANA LETTER KA-9	か	閑	U+9591
U+1B020	𛀠	HENTAIGANA LETTER KA-10	か	香	U+9999
U+1B021	𛀡	HENTAIGANA LETTER KA-11	か	駕	U+99D5
U+1B022	𛀢	HENTAIGANA LETTER KA-KE	か/け	家	U+5BB6
U+1B023	𛀣	HENTAIGANA LETTER KI-1	き	喜	U+559C
U+1B024	𛀤	HENTAIGANA LETTER KI-2	き	幾	U+5E7E
U+1B025	𛀥	HENTAIGANA LETTER KI-3	き	幾	U+5E7E
U+1B026	𛀦	HENTAIGANA LETTER KI-4	き	支	U+652F
U+1B027	𛀧	HENTAIGANA LETTER KI-5	き	木	U+6728
U+1B028	𛀨	HENTAIGANA LETTER KI-6	き	祈	U+7948
U+1B029	𛀩	HENTAIGANA LETTER KI-7	き	貴	U+8CB4
U+1B02A	𛀪	HENTAIGANA LETTER KI-8	き	起	U+8D77
U+1B02B	𛀫	HENTAIGANA LETTER KU-1	く	久	U+4E45
U+1B02C	𛀬	HENTAIGANA LETTER KU-2	く	久	U+4E45
U+1B02D	𛀭	HENTAIGANA LETTER KU-3	く	九	U+4E5D
U+1B02E	𛀮	HENTAIGANA LETTER KU-4	く	供	U+4F9B
U+1B02F	𛀯	HENTAIGANA LETTER KU-5	く	倶	U+5036
U+1B030	𛀰	HENTAIGANA LETTER KU-6	く	具	U+5177
U+1B031	𛀱	HENTAIGANA LETTER KU-7	く	求	U+6C42
U+1B032	𛀲	HENTAIGANA LETTER KE-1	け	介	U+4ECB
U+1B033	𛀳	HENTAIGANA LETTER KE-2	け	介	U+4ECB
U+1B034	𛀴	HENTAIGANA LETTER KE-3	け	希	U+5E0C
U+1B035	𛀵	HENTAIGANA LETTER KE-4	け	氣	U+6C23
U+1B036	𛀶	HENTAIGANA LETTER KE-5	け	計	U+8A08
U+1B037	𛀷	HENTAIGANA LETTER KE-6	け	遣	U+9063
U+1B038	𛀸	HENTAIGANA LETTER KO-1	こ	古	U+53E4
