# 平仮名字源 of each single-kana article, Japanese Wikipedia (https://ja.wikipedia.org/wiki/<kana>)
# licence: CC-BY-SA-4.0 (https://ja.wikipedia.org/wiki/Wikipedia:ウィキペディアを二次利用する)
# attribution: Wikipedia 日本語版の執筆者, 各仮名の記事（revision は各行）
# accessed: 2026-09-26
# rows: 48 of 48 kana
kana	jibo	jibo_code_point	source_text	revision
あ	安	U+5B89	安の草書体	111093562
い	以	U+4EE5	以の草書体	111093068
う	宇	U+5B87	宇の草書体	111093684
え	衣	U+8863	衣の草書体	111093566
お	於	U+65BC	於の草書体	111093640
か	加	U+52A0	加の草書体	111093584
き	幾	U+5E7E	幾の草書体	111093590
く	久	U+4E45	久の草書体	111093597
け	計	U+8A08	計の草書体	111093586
こ	己	U+5DF1	己の草書体	111093594
さ	左	U+5DE6	左の草書体	111093654
し	之	U+4E4B	之の草書体	111093660
す	寸	U+5BF8	寸の草書体	111093664
せ	世	U+4E16	世の草書体	111093656
そ	曾	U+66FE	曾の草書体	111093662
た	太	U+592A	太の草書体	111093668
ち	知	U+77E5	知の草書体	111093672
つ	州	U+5DDE	州の草書体	111093682
て	天	U+5929	天の草書体	111093669
と	止	U+6B62	止の草書体	111093678
な	奈	U+5948	奈の草書体	111093621
に	仁	U+4EC1	仁の草書体	111093627
ぬ	奴	U+5974	奴の草書体	111093632
ね	祢	U+7962	祢の草書体	111093624
の	乃	U+4E43	乃の草書体	111093629
は	波	U+6CE2	波の草書体	111093569
ひ	比	U+6BD4	比の草書体	111093577
ふ	不	U+4E0D	不の草書体	111093582
へ	部	U+90E8	部の草書体	111093576
ほ	保	U+4FDD	保の草書体	111093579
ま	末	U+672B	末の草書体	111093599
み	美	U+7F8E	美の草書体	111093606
む	武	U+6B66	武の草書体	111093609
め	女	U+5973	女の草書体	111093605
も	毛	U+6BDB	毛の草書体	111093608
や	也	U+4E5F	也の草書体	111093698
ゆ	由	U+7531	由の草書体	111093561
よ	与	U+4E0E	与の草書体	111093699
ら	良	U+826F	良の草書体	111093642
り	利	U+5229	利の草書体	111093645
る	留	U+7559	留の草書体	111093652
れ	礼	U+793C	礼の草書体	111093644
ろ	呂	U+5442	呂の草書体	111093646
わ	和	U+548C	和の草書体	111093686
ゐ	為	U+70BA	為の草書体	111093693
ゑ	惠	U+60E0	惠の草書体	111093688
を	遠	U+9060	遠の草書体	111093695
ん	无	U+65E0	无の草書体	111093615
