# Character equivalences for the alignment and export policies.
# source unicode-ucd (compatibility): Unicode Character Database and Ideographic Variation Database (UnicodeData.txt), fields Name and Decomposition, Unicode-3.0 (https://www.unicode.org/license.txt); Copyright Unicode, Inc.; Unicode License v3
#   https://www.unicode.org/Public/UCD/latest/ucd/UnicodeData.txt sha256:2e1efc1dcb59c575
#   a: a CJK compatibility ideograph or another character whose field 5 is a <compat> decomposition naming one CJK unified ideograph; b: that ideograph.
# source mj-main-table (itaiji): MJ文字情報一覧表 Ver.006.02, columns MJ文字図形名, 対応するUCS, X0213; CC-BY-SA-2.1-JP (https://moji.or.jp/mojikiban/mjlist/); 文字情報基盤 MJ文字情報一覧表（IPA）, CC BY-SA 2.1 JP
#   https://moji.or.jp/wp-content/uploads/2024/01/mji.00602.xlsx sha256:f79075bf006b66c5
#   a, b: two characters the table places at one X0213 面区点, ordered by code point.
# source mj-shrink-map (shinji-kyuji): MJ縮退マップ Ver.1.2.0, fields MJ文字図形名, 法務省戸籍法関連通達・通知, 種別, UCS, JIS X 0213; http://creativecommons.org/licenses/by-sa/2.1/jp/ (CC BY-SA 2.1 JP), corresponds to Ver.005.02
#   https://moji.or.jp/wp-content/mojikiban/oscdl/MJShrinkMap.1.2.0.json sha256:275b57ecd5929edb
#   a: a 旧字 whose 親字・正字 is b, a 常用漢字 (漢字施策 column of the main table); both are BMP CJK unified ideographs at different X0213 面区点.
# columns: a, b, kind, source
# rows: compatibility 1221, shinji-kyuji 639, itaiji 166
a	b	kind	source
⺟	母	compatibility	unicode-ucd
⻳	龟	compatibility	unicode-ucd
⼀	一	compatibility	unicode-ucd
⼁	丨	compatibility	unicode-ucd
⼂	丶	compatibility	unicode-ucd
⼃	丿	compatibility	unicode-ucd
⼄	乙	compatibility	unicode-ucd
⼅	亅	compatibility	unicode-ucd
⼆	二	compatibility	unicode-ucd
⼇	亠	compatibility	unicode-ucd
⼈	人	compatibility	unicode-ucd
⼉	儿	compatibility	unicode-ucd
⼊	入	compatibility	unicode-ucd
⼋	八	compatibility	unicode-ucd
⼌	冂	compatibility	unicode-ucd
⼍	冖	compatibility	unicode-ucd
⼎	冫	compatibility	unicode-ucd
⼏	几	compatibility	unicode-ucd
⼐	凵	compatibility	unicode-ucd
⼑	刀	compatibility	unicode-ucd
⼒	力	compatibility	unicode-ucd
⼓	勹	compatibility	unicode-ucd
⼔	匕	compatibility	unicode-ucd
⼕	匚	compatibility	unicode-ucd
⼖	匸	compatibility	unicode-ucd
⼗	十	compatibility	unicode-ucd
⼘	卜	compatibility	unicode-ucd
⼙	卩	compatibility	unicode-ucd
⼚	厂	compatibility	unicode-ucd
⼛	厶	compatibility	unicode-ucd
⼜	又	compatibility	unicode-ucd
⼝	口	compatibility	unicode-ucd
⼞	囗	compatibility	unicode-ucd
⼟	土	compatibility	unicode-ucd
⼠	士	compatibility	unicode-ucd
⼡	夂	compatibility	unicode-ucd
⼢	夊	compatibility	unicode-ucd
⼣	夕	compatibility	unicode-ucd
⼤	大	compatibility	unicode-ucd
⼥	女	compatibility	unicode-ucd
⼦	子	compatibility	unicode-ucd
⼧	宀	compatibility	unicode-ucd
⼨	寸	compatibility	unicode-ucd
⼩	小	compatibility	unicode-ucd
⼪	尢	compatibility	unicode-ucd
⼫	尸	compatibility	unicode-ucd
⼬	屮	compatibility	unicode-ucd
⼭	山	compatibility	unicode-ucd
⼮	巛	compatibility	unicode-ucd
⼯	工	compatibility	unicode-ucd
⼰	己	compatibility	unicode-ucd
⼱	巾	compatibility	unicode-ucd
⼲	干	compatibility	unicode-ucd
⼳	幺	compatibility	unicode-ucd
⼴	广	compatibility	unicode-ucd
⼵	廴	compatibility	unicode-ucd
⼶	廾	compatibility	unicode-ucd
⼷	弋	compatibility	unicode-ucd
⼸	弓	compatibility	unicode-ucd
⼹	彐	compatibility	unicode-ucd
⼺	彡	compatibility	unicode-ucd
⼻	彳	compatibility	unicode-ucd
⼼	心	compatibility	unicode-ucd
⼽	戈	compatibility	unicode-ucd
⼾	戶	compatibility	unicode-ucd
⼿	手	compatibility	unicode-ucd
⽀	支	compatibility	unicode-ucd
⽁	攴	compatibility	unicode-ucd
⽂	文	compatibility	unicode-ucd
⽃	斗	compatibility	unicode-ucd
⽄	斤	compatibility	unicode-ucd
⽅	方	compatibility	unicode-ucd
⽆	无	compatibility	unicode-ucd
⽇	日	compatibility	unicode-ucd
⽈	曰	compatibility	unicode-ucd
⽉	月	compatibility	unicode-ucd
⽊	木	compatibility	unicode-ucd
⽋	欠	compatibility	unicode-ucd
⽌	止	compatibility	unicode-ucd
⽍	歹	compatibility	unicode-ucd
⽎	殳	compatibility	unicode-ucd
⽏	毋	compatibility	unicode-ucd
⽐	比	compatibility	unicode-ucd
⽑	毛	compatibility	unicode-ucd
⽒	氏	compatibility	unicode-ucd
⽓	气	compatibility	unicode-ucd
⽔	水	compatibility	unicode-ucd
⽕	火	compatibility	unicode-ucd
⽖	爪	compatibility	unicode-ucd
⽗	父	compatibility	unicode-ucd
⽘	爻	compatibility	unicode-ucd
⽙	爿	compatibility	unicode-ucd
⽚	片	compatibility	unicode-ucd
⽛	牙	compatibility	unicode-ucd
⽜	牛	compatibility	unicode-ucd
⽝	犬	compatibility	unicode-ucd
⽞	玄	compatibility	unicode-ucd
⽟	玉	compatibility	unicode-ucd
⽠	瓜	compatibility	unicode-ucd
⽡	瓦	compatibility	unicode-ucd
⽢	甘	compatibility	unicode-ucd
⽣	生	compatibility	unicode-ucd
⽤	用	compatibility	unicode-ucd
⽥	田	compatibility	unicode-ucd
⽦	疋	compatibility	unicode-ucd
⽧	疒	compatibility	unicode-ucd
⽨	癶	compatibility	unicode-ucd
⽩	白	compatibility	unicode-ucd
⽪	皮	compatibility	unicode-ucd
⽫	皿	compatibility	unicode-ucd
⽬	目	compatibility	unicode-ucd
⽭	矛	compatibility	unicode-ucd
⽮	矢	compatibility	unicode-ucd
⽯	石	compatibility	unicode-ucd
⽰	示	compatibility	unicode-ucd
⽱	禸	compatibility	unicode-ucd
⽲	禾	compatibility	unicode-ucd
⽳	穴	compatibility	unicode-ucd
⽴	立	compatibility	unicode-ucd
⽵	竹	compatibility	unicode-ucd
⽶	米	compatibility	unicode-ucd
⽷	糸	compatibility	unicode-ucd
⽸	缶	compatibility	unicode-ucd
⽹	网	compatibility	unicode-ucd
⽺	羊	compatibility	unicode-ucd
⽻	羽	compatibility	unicode-ucd
⽼	老	compatibility	unicode-ucd
⽽	而	compatibility	unicode-ucd
⽾	耒	compatibility	unicode-ucd
⽿	耳	compatibility	unicode-ucd
