# MJ文字情報一覧表 変体仮名編 Ver.002.01
# publisher: 文字情報技術促進協議会（IPA 文字情報基盤）
# url: https://moji.or.jp/mojikiban/mjlist/
# access: https://moji.or.jp/wp-content/mojikiban/oscdl/MJIH00201-ods.zip
# archive: MJIH00201-ods.zip, 240803 bytes, sha256 b9f8125b20ab4c5fd1fd4f860834939b463a50641668901258dc65bf4c9b3fa6
# licence: CC-BY-SA-2.1-JP (https://moji.or.jp/mojikiban/mjlist/)
# attribution: 文字情報基盤 MJ文字情報一覧表 変体仮名編（IPA）, CC BY-SA 2.1 JP
# columns: mj, code_point, name, jibo, jibo_code_point, readings, koseki, gakujutsu, ninjal_url, note
# ODS columns read: MJ文字図形名, font文字, 図形, CharacterName, UCS符号位置, 字母, 字母のUCS符号位置, 音価１, 音価２, 音価３, 戸籍統一文字番号, 学術用変体仮名番号, 国語研URL, 備考
# readings joins 音価１, 音価２ and 音価３ with /; note carries 備考 verbatim.
# rows: 299, with a code point: 286, without: 13
mj	code_point	name	jibo	jibo_code_point	readings	koseki	gakujutsu	ninjal_url	note
MJ090001	U+1B002	HENTAIGANA LETTER A-1	安	U+5B89	あ	900010	010010010	https://cid.ninjal.ac.jp/kana/detail/010010010	
MJ090003	U+1B003	HENTAIGANA LETTER A-2	愛	U+611B	あ	900030	010030010	https://cid.ninjal.ac.jp/kana/detail/010030010	
MJ090004	U+1B004	HENTAIGANA LETTER A-3	阿	U+963F	あ	900020	010040010	https://cid.ninjal.ac.jp/kana/detail/010040010	
MJ090002	U+1B005	HENTAIGANA LETTER A-WO	惡	U+60E1	あ/を		010020010	https://cid.ninjal.ac.jp/kana/detail/010020010	
MJ090005	U+1B006	HENTAIGANA LETTER I-1	以	U+4EE5	い	900040	020010010	https://cid.ninjal.ac.jp/kana/detail/020010010	
MJ090006	U+1B007	HENTAIGANA LETTER I-2	伊	U+4F0A	い	900050	020020010	https://cid.ninjal.ac.jp/kana/detail/020020010	
MJ090007	U+1B008	HENTAIGANA LETTER I-3	意	U+610F	い	900060	020030010	https://cid.ninjal.ac.jp/kana/detail/020030010	
MJ090008	U+1B009	HENTAIGANA LETTER I-4	移	U+79FB	い		020050010	https://cid.ninjal.ac.jp/kana/detail/020050010	
MJ090009	U+1B00A	HENTAIGANA LETTER U-1	宇	U+5B87	う		030020010	https://cid.ninjal.ac.jp/kana/detail/030020010	
MJ090010	U+1B00B	HENTAIGANA LETTER U-2	宇	U+5B87	う	900070	030020020	https://cid.ninjal.ac.jp/kana/detail/030020020	
MJ090011	U+1B00C	HENTAIGANA LETTER U-3	憂	U+6182	う		030030010	https://cid.ninjal.ac.jp/kana/detail/030030010	
MJ090012	U+1B00D	HENTAIGANA LETTER U-4	有	U+6709	う	900080	030040010	https://cid.ninjal.ac.jp/kana/detail/030040010	
MJ090013	U+1B00E	HENTAIGANA LETTER U-5	雲	U+96F2	う	900090	030050010	https://cid.ninjal.ac.jp/kana/detail/030050010	
MJ090014	U+1B001	HENTAIGANA LETTER E-1	江	U+6C5F	え	900110	040020010	https://cid.ninjal.ac.jp/kana/detail/040020010	
MJ090015	U+1B00F	HENTAIGANA LETTER E-2	盈	U+76C8	え	900120	040030010	https://cid.ninjal.ac.jp/kana/detail/040030010	
MJ090016	U+1B010	HENTAIGANA LETTER E-3	縁	U+7E01	え		040040010	https://cid.ninjal.ac.jp/kana/detail/040040010	
MJ090017	U+1B011	HENTAIGANA LETTER E-4	衣	U+8863	え	900100			
MJ090018	U+1B012	HENTAIGANA LETTER E-5	衣	U+8863	え		040050020	https://cid.ninjal.ac.jp/kana/detail/040050020	
MJ090019	U+1B013	HENTAIGANA LETTER E-6	要	U+8981	え		040060010	https://cid.ninjal.ac.jp/kana/detail/040060010	
MJ090020	U+1B014	HENTAIGANA LETTER O-1	於	U+65BC	お	900130	050010010	https://cid.ninjal.ac.jp/kana/detail/050010010	
MJ090021	U+1B015	HENTAIGANA LETTER O-2	於	U+65BC	お	900140	050010020	https://cid.ninjal.ac.jp/kana/detail/050010020	
MJ090022	U+1B016	HENTAIGANA LETTER O-3	隱	U+96B1	お	901530	050020010	https://cid.ninjal.ac.jp/kana/detail/050020010	
MJ090023	U+1B017	HENTAIGANA LETTER KA-1	佳	U+4F73	か		060010010	https://cid.ninjal.ac.jp/kana/detail/060010010	
MJ090024	U+1B018	HENTAIGANA LETTER KA-2	加	U+52A0	か	900150	060020010	https://cid.ninjal.ac.jp/kana/detail/060020010	
MJ090025	U+1B019	HENTAIGANA LETTER KA-3	可	U+53EF	か	900160	060030010	https://cid.ninjal.ac.jp/kana/detail/060030010	
MJ090026	U+1B01A	HENTAIGANA LETTER KA-4	可	U+53EF	か		060030020	https://cid.ninjal.ac.jp/kana/detail/060030020	
MJ090027	U+1B01B	HENTAIGANA LETTER KA-5	嘉	U+5609	か	900180	060050010	https://cid.ninjal.ac.jp/kana/detail/060050010	
MJ090029	U+1B01C	HENTAIGANA LETTER KA-6	我	U+6211	か		060070010	https://cid.ninjal.ac.jp/kana/detail/060070010	
MJ090030	U+1B01D	HENTAIGANA LETTER KA-7	歟	U+6B5F	か		060090010	https://cid.ninjal.ac.jp/kana/detail/060090010	
MJ090031	U+1B01E	HENTAIGANA LETTER KA-8	賀	U+8CC0	か		060100010	https://cid.ninjal.ac.jp/kana/detail/060100010	
MJ090032	U+1B01F	HENTAIGANA LETTER KA-9	閑	U+9591	か	900170	060110010	https://cid.ninjal.ac.jp/kana/detail/060110010	
MJ090033	U+1B020	HENTAIGANA LETTER KA-10	香	U+9999	か		060120010	https://cid.ninjal.ac.jp/kana/detail/060120010	
MJ090034	U+1B021	HENTAIGANA LETTER KA-11	駕	U+99D5	か		060130010	https://cid.ninjal.ac.jp/kana/detail/060130010	
MJ090028	U+1B022	HENTAIGANA LETTER KA-KE	家	U+5BB6	か/け		060060010	https://cid.ninjal.ac.jp/kana/detail/060060010	
MJ090035	U+1B023	HENTAIGANA LETTER KI-1	喜	U+559C	き		070020010	https://cid.ninjal.ac.jp/kana/detail/070020010	
MJ090036	U+1B024	HENTAIGANA LETTER KI-2	幾	U+5E7E	き		070040010	https://cid.ninjal.ac.jp/kana/detail/070040010	
MJ090037	U+1B025	HENTAIGANA LETTER KI-3	幾	U+5E7E	き	900210	070040020	https://cid.ninjal.ac.jp/kana/detail/070040020	
MJ090038	U+1B026	HENTAIGANA LETTER KI-4	支	U+652F	き	900200	070050010	https://cid.ninjal.ac.jp/kana/detail/070050010	
MJ090040	U+1B027	HENTAIGANA LETTER KI-5	木	U+6728	き		070060010	https://cid.ninjal.ac.jp/kana/detail/070060010	
MJ090041	U+1B028	HENTAIGANA LETTER KI-6	祈	U+7948	き		070070010	https://cid.ninjal.ac.jp/kana/detail/070070010	
MJ090042	U+1B029	HENTAIGANA LETTER KI-7	貴	U+8CB4	き	901540			
MJ090043	U+1B02A	HENTAIGANA LETTER KI-8	起	U+8D77	き	900190	070110010	https://cid.ninjal.ac.jp/kana/detail/070110010	
MJ090044	U+1B02B	HENTAIGANA LETTER KU-1	久	U+4E45	く		080010010	https://cid.ninjal.ac.jp/kana/detail/080010010	
MJ090045	U+1B02C	HENTAIGANA LETTER KU-2	久	U+4E45	く	900220	080010020	https://cid.ninjal.ac.jp/kana/detail/080010020	
MJ090046	U+1B02D	HENTAIGANA LETTER KU-3	九	U+4E5D	く	900240	080020010	https://cid.ninjal.ac.jp/kana/detail/080020010	
MJ090047	U+1B02E	HENTAIGANA LETTER KU-4	供	U+4F9B	く		080030010	https://cid.ninjal.ac.jp/kana/detail/080030010	
MJ090048	U+1B02F	HENTAIGANA LETTER KU-5	倶	U+5036	く		080040010	https://cid.ninjal.ac.jp/kana/detail/080040010	
MJ090049	U+1B030	HENTAIGANA LETTER KU-6	具	U+5177	く	900230	080050010	https://cid.ninjal.ac.jp/kana/detail/080050010	
MJ090050	U+1B031	HENTAIGANA LETTER KU-7	求	U+6C42	く		080060010	https://cid.ninjal.ac.jp/kana/detail/080060010	
MJ090052	U+1B032	HENTAIGANA LETTER KE-1	介	U+4ECB	け	900260			
MJ090051	U+1B033	HENTAIGANA LETTER KE-2	介	U+4ECB	け	900270	090010010	https://cid.ninjal.ac.jp/kana/detail/090010010	
MJ090054	U+1B034	HENTAIGANA LETTER KE-3	希	U+5E0C	け	900250	090020010	https://cid.ninjal.ac.jp/kana/detail/090020010	
MJ090055	U+1B035	HENTAIGANA LETTER KE-4	氣	U+6C23	け	900280	090030010	https://cid.ninjal.ac.jp/kana/detail/090030010	
MJ090056	U+1B036	HENTAIGANA LETTER KE-5	計	U+8A08	け		090050010	https://cid.ninjal.ac.jp/kana/detail/090050010	
MJ090057	U+1B037	HENTAIGANA LETTER KE-6	遣	U+9063	け		090060010	https://cid.ninjal.ac.jp/kana/detail/090060010	
MJ090058	U+1B038	HENTAIGANA LETTER KO-1	古	U+53E4	こ	900290	100010010	https://cid.ninjal.ac.jp/kana/detail/100010010	
MJ090060	U+1B039	HENTAIGANA LETTER KO-2	故	U+6545	こ	900310	100030010	https://cid.ninjal.ac.jp/kana/detail/100030010	
MJ090062	U+1B03A	HENTAIGANA LETTER KO-3	許	U+8A31	こ	900300	100070010	https://cid.ninjal.ac.jp/kana/detail/100070010	
MJ090061	U+1B03B	HENTAIGANA LETTER KO-KI	期	U+671F	こ/き		100040010	https://cid.ninjal.ac.jp/kana/detail/100040010	
MJ090063	U+1B03C	HENTAIGANA LETTER SA-1	乍	U+4E4D	さ		110010010	https://cid.ninjal.ac.jp/kana/detail/110010010	
MJ090064	U+1B03D	HENTAIGANA LETTER SA-2	佐	U+4F50	さ	900330	110020010	https://cid.ninjal.ac.jp/kana/detail/110020010	
