# Classifier readings of a label that are a cursive form of the label itself, not another character.
# A Quick review suspect mark whose label and reading make one of these pairs is not made (quiz_suspects).
# Decided by mkpoli on 2026-09-26 from eight sample crops per pair (the glyph ids below), among the 201
# (label, reading) pairs the corpus marks repeated at least 40 times. A pair is listed only when all eight
# samples were the label; 45 further pairs were answered "can't tell" and are not listed, so they stay marked.
# marks: how many corpus marks the pair held when it was decided.
label	label_code_point	reads_as	reads_as_code_point	marks	samples	decided
可	U+53EF	一	U+4E00	600	hi:34250011 hi:34141811 hi:34295507 hi:34078290 hi:34086181 hi:34368405 hi:34100582 hi:34277744	2026-09-26
可	U+53EF	マ	U+30DE	565	hi:34091637 hi:34358086 hi:34191219 hi:34076593 hi:34122450 hi:34274087 hi:34250218 hi:34098719	2026-09-26
之	U+4E4B	ゝ	U+309D	512	hi:34177269 hi:34118978 hi:34308130 hi:34085802 hi:34135772 hi:34174001 hi:34095717 hi:34288837	2026-09-26
被	U+88AB	ら	U+3089	429	hi:34079224 hi:34172542 hi:34077543 hi:34339788 hi:34147407 hi:34175520 hi:34278470 hi:34158857	2026-09-26
之	U+4E4B	々	U+3005	365	hi:34257670 hi:34136879 hi:34271757 hi:34191941 hi:34265394 hi:34366538 hi:34158536 hi:34130887	2026-09-26
八	U+516B	い	U+3044	240	hi:34303219 hi:34302988 hi:34348857 hi:34088226 hi:34241781 hi:34059830 hi:34300347 hi:34365037	2026-09-26
云	U+4E91	み	U+307F	235	hi:34149465 hi:34199367 hi:34149135 hi:34202079 hi:34156051 hi:34196591 hi:34206447 hi:34198156	2026-09-26
候	U+5019	も	U+3082	231	hi:34138692 hi:34385839 hi:34091842 hi:34147306 hi:34260215 hi:34140489 hi:34118587 hi:34090083	2026-09-26
候	U+5019	く	U+304F	228	hi:34093853 hi:34367451 hi:34078018 hi:34356320 hi:34364924 hi:34093849 hi:34043083 hi:34312685	2026-09-26
り	U+308A	か	U+304B	221	codh:brsk00000:brsk003_022:B0001:C0166 hi:34051467 codh:umgy00000:umgy010_019:B0001:C0075 codh:hnsd00000:hnsd005_022:B0001:C0121 hi:34393600 codh:umgy00000:umgy002_007:B0001:C0027 codh:brsk00000:brsk001_030:B0001:C0326 hi:34072689	2026-09-26
御	U+5FA1	ツ	U+30C4	187	hi:34199756 hi:34464331 hi:34245401 hi:34379229 hi:34326654 hi:34375543 hi:34308363 hi:34104839	2026-09-26
上	U+4E0A	三	U+4E09	171	hi:34171878 hi:34525165 hi:34383087 hi:34308928 hi:34160410 hi:34244598 hi:34175290 hi:34040070	2026-09-26
内	U+5185	ゆ	U+3086	167	hi:34212300 hi:34195242 hi:34148052 hi:34399909 hi:34127669 hi:34219691 hi:34073734 hi:34162857	2026-09-26
て	U+3066	ん	U+3093	166	hi:34231636 hi:34094048 hi:34174073 hi:34302150 hi:34302079 hi:34346680 hi:34071470 hi:34096261	2026-09-26
候	U+5019	か	U+304B	161	hi:34177265 hi:34169716 hi:34315012 hi:34115793 hi:34077635 hi:34174750 hi:34172492 hi:34128780	2026-09-26
へ	U+3078	つ	U+3064	157	hi:34279857 hi:34120445 hi:34107077 hi:34049213 hi:34112293 codh:200018243:200018243_00027_2:B0001:C0085 hi:34335537 hi:34425279	2026-09-26
可	U+53EF	て	U+3066	156	hi:34177323 hi:34266632 hi:34275076 hi:34024250 hi:34144816 hi:34355006 hi:34476053 hi:34339769	2026-09-26
に	U+306B	小	U+5C0F	137	codh:200006665:200006665_00005_1:B0001:C0113 codh:hnsd00000:hnsd001_011:B0001:C0044 codh:200004107:200004107_00005_1:B0001:C0104 codh-omt:001:9641 codh:200021712:200021712_00044_1:B0001:C0177 codh-omt:001:28438 codh-omt:001:8464 codh-omt:001:10032	2026-09-26
令	U+4EE4	今	U+4ECA	133	hi:34239319 hi:34264765 hng:ini:0410 hi:34156612 hi:34155218 hng:kbk:0417 hng:hod:0710 hng:jyu:0126	2026-09-26
令	U+4EE4	と	U+3068	131	hi:34160962 hi:34042530 hi:34194307 hi:34276349 hi:34155466 hi:34043587 hi:34223613 hi:34090098	2026-09-26
